,kingdom,phylum,class,order,family,scientificname,locality,month,year,taxonkey
2977,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,TILLANDSIA FENDLERI GRISEB.,IGUAQUE,12.0,2006.0,2694600
2979,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,TILLANDSIA DENUDATA ANDRA©,IGUAQUE,12.0,2006.0,2695281
2980,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,TILLANDSIA DENUDATA ANDRA©,IGUAQUE,12.0,2006.0,2695281
3007,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,TILLANDSIA RESTREPOANA ANDRA©,IGUAQUE,12.0,2006.0,2694820
3043,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,TILLANDSIA RESTREPOANA ANDRA©,IGUAQUE,12.0,2006.0,2694820
3329,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,JUNGERMANNIALES,TRICHOCOLEACEAE,TRICHOCOLEA FILICAULIS STEPH.,GUACHAROS,11.0,2005.0,7584952
3665,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PORELLALES,LEJEUNEACEAE,TRACHYLEJEUNEA ASPERIFLORA (SPRUCE) SCHIFFN.,GUACHAROS,11.0,2005.0,7613628
3666,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PORELLALES,LEJEUNEACEAE,TRACHYLEJEUNEA ASPERIFLORA (SPRUCE) SCHIFFN.,GUACHAROS,11.0,2005.0,7613628
3907,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,THUIDIACEAE,"THUIDIUM PERUVIANUM MITTEN, 1869",GUACHAROS,11.0,2005.0,2679471
3938,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,THUIDIACEAE,"THUIDIUM PERUVIANUM MITTEN, 1869",IGUAQUE,6.0,2005.0,2679471
3990,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,THUIDIACEAE,"THUIDIUM PERUVIANUM MITTEN, 1869",GUACHAROS,11.0,2005.0,2679471
3997,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,THUIDIACEAE,"THUIDIUM PERUVIANUM MITTEN, 1869",SUMAPAZ,2.0,2002.0,2679471
4003,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,THUIDIACEAE,"THUIDIUM PERUVIANUM MITTEN, 1869",SUMAPAZ,7.0,2002.0,2679471
4014,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,THUIDIACEAE,"THUIDIUM PERUVIANUM MITTEN, 1869",GUACHAROS,11.0,2005.0,2679471
4020,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,THUIDIACEAE,"THUIDIUM PERUVIANUM MITTEN, 1869",IGUAQUE,6.0,2005.0,2679471
4022,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,THUIDIACEAE,THUIDIACEAE,IGUAQUE,3.0,1996.0,4659
4090,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,THUIDIACEAE,THUIDIACEAE,IGUAQUE,12.0,2006.0,4659
4724,PLANTAE,BRYOPHYTA,BRYOPSIDA,LEUCODONTALES,NECKERACEAE,THAMNOBRYUM FASCICULATUM (HEDW.) I.SASTRE,IGUAQUE,6.0,2005.0,9043960
4725,PLANTAE,BRYOPHYTA,BRYOPSIDA,LEUCODONTALES,NECKERACEAE,THAMNOBRYUM FASCICULATUM (HEDW.) I.SASTRE,IGUAQUE,6.0,2005.0,9043960
5311,PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,POLYPODIALES,POLYPODIACEAE,POLYPODIACEAE,PURACE,9.0,2007.0,2368
5672,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PORELLALES,LEJEUNEACEAE,TAXILEJEUNEA CARACENSIS (LINDENB.) STEPHANI,SIERRA NEVADA DE SANTA MARTA,1.0,2014.0,8249563
5680,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PORELLALES,LEJEUNEACEAE,TAXILEJEUNEA OBTUSANGULA (SPRUCE) A.EVANS,GUACHAROS,11.0,2005.0,5710110
5683,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,SEMATOPHYLLACEAE,"TAXITHELIUM PLANUM MITTEN, 1869",GUACHAROS,11.0,2005.0,2680447
5688,PLANTAE,BRYOPHYTA,BRYOPSIDA,FUNARIALES,SPLACHNACEAE,"TAYLORIA MAGELLANICA MITTEN, 1869",GALERAS,1.0,1995.0,5281495
5735,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PORELLALES,LEJEUNEACEAE,TAXILEJEUNEA LUSORIA (LINDENB. & GOTTSCHE) SCHIFFNER,GUACHAROS,11.0,2005.0,7573115
5742,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PORELLALES,LEJEUNEACEAE,TAXILEJEUNEA LUSORIA (LINDENB. & GOTTSCHE) SCHIFFNER,GUACHAROS,11.0,2005.0,7573115
5768,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PORELLALES,LEJEUNEACEAE,TAXILEJEUNEA PTERIGONIA (LEHM. & LINDENB.) SCHIFFN.,GUACHAROS,11.0,2005.0,8311593
5787,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PORELLALES,LEJEUNEACEAE,TAXILEJEUNEA PTERIGONIA (LEHM. & LINDENB.) SCHIFFN.,GUACHAROS,11.0,2005.0,8311593
5795,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PORELLALES,LEJEUNEACEAE,TAXILEJEUNEA PTERIGONIA (LEHM. & LINDENB.) SCHIFFN.,GUACHAROS,11.0,2005.0,8311593
5798,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PORELLALES,LEJEUNEACEAE,TAXILEJEUNEA PTERIGONIA (LEHM. & LINDENB.) SCHIFFN.,GUACHAROS,11.0,2005.0,8311593
5818,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PORELLALES,LEJEUNEACEAE,TAXILEJEUNEA PTERIGONIA (LEHM. & LINDENB.) SCHIFFN.,IGUAQUE,7.0,2005.0,8311593
6322,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PALLAVICINIALES,PALLAVICINIACEAE,SYMPHYOGYNA PODOPHYLLA (THUNB.) NEES & MONT.,GUACHAROS,11.0,2005.0,8183615
6326,PLANTAE,BRYOPHYTA,BRYOPSIDA,POTTIALES,CALYMPERACEAE,"SYRRHOPODON GAUDICHAUDII MONTAGNE, 1834",IGUAQUE,6.0,2005.0,2670289
6327,PLANTAE,BRYOPHYTA,BRYOPSIDA,POTTIALES,CALYMPERACEAE,"SYRRHOPODON GAUDICHAUDII MONTAGNE, 1834",IGUAQUE,6.0,2005.0,2670289
6334,PLANTAE,BRYOPHYTA,BRYOPSIDA,POTTIALES,POTTIACEAE,"SYNTRICHIA BOGOTENSIS MITTEN EX ZANDER, 1993",TAMA,1.0,1999.0,2671302
6449,PLANTAE,BRYOPHYTA,BRYOPSIDA,POTTIALES,CALYMPERACEAE,"SYRRHOPODON PROLIFER SCHWAEGRICHEN, 1827",GUACHAROS,11.0,2005.0,2670298
6469,PLANTAE,BRYOPHYTA,BRYOPSIDA,POTTIALES,CALYMPERACEAE,"SYRRHOPODON PROLIFER SCHWAEGRICHEN, 1827",GUACHAROS,11.0,2005.0,2670298
6474,PLANTAE,BRYOPHYTA,BRYOPSIDA,POTTIALES,CALYMPERACEAE,"SYRRHOPODON PROLIFER SCHWAEGRICHEN, 1827",GUACHAROS,11.0,2005.0,2670298
6511,PLANTAE,BRYOPHYTA,BRYOPSIDA,POTTIALES,CALYMPERACEAE,"SYRRHOPODON PROLIFER SCHWAEGRICHEN, 1827",GUACHAROS,11.0,2005.0,2670298
6631,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PALLAVICINIALES,PALLAVICINIACEAE,SYMPHYOGYNA BRONGNIARTII MONT.,GUACHAROS,11.0,2005.0,7436665
6641,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,JUNGERMANNIALES,ADELANTHACEAE,SYZYGIELLA PERFOLIATA (SW.) SPRUCE,IGUAQUE,7.0,2005.0,2689032
6644,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,JUNGERMANNIALES,ADELANTHACEAE,SYZYGIELLA LIBERATA INOUE,GUACHAROS,11.0,2005.0,7934717
6681,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PALLAVICINIALES,PALLAVICINIACEAE,SYMPHYOGYNA BRONGNIARTII MONT.,GUACHAROS,11.0,2005.0,7436665
6760,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PALLAVICINIALES,PALLAVICINIACEAE,SYMPHYOGYNA BRONGNIARTII MONT.,GUACHAROS,11.0,2005.0,7436665
7275,PLANTAE,BRYOPHYTA,BRYOPSIDA,POTTIALES,CALYMPERACEAE,"SYRRHOPODON SIMMONDSII STEERE, 1946",GUACHAROS,11.0,2005.0,2670304
7310,PLANTAE,BRYOPHYTA,BRYOPSIDA,POTTIALES,POTTIACEAE,"STREPTOPOGON LINDIGII HAMPE, 1851",TAMA,1.0,1999.0,2671865
7381,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PALLAVICINIALES,PALLAVICINIACEAE,SYMPHYOGYNA ASPERA STEPH.,GUACHAROS,11.0,2005.0,7828205
7445,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PALLAVICINIALES,PALLAVICINIACEAE,SYMPHYOGYNA BRASILIENSIS (NEES) NEES & MONT.,GUACHAROS,11.0,2005.0,2688693
7564,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PALLAVICINIALES,PALLAVICINIACEAE,SYMPHYOGYNA BRASILIENSIS (NEES) NEES & MONT.,GUACHAROS,11.0,2005.0,2688693
7600,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PALLAVICINIALES,PALLAVICINIACEAE,SYMPHYOGYNA BOGOTENSIS (GOTTSCHE) STEPH.,GUACHAROS,11.0,2005.0,7552587
7727,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,"STURNIRA BOGOTENSIS SHAMEL, 1927",TAMA,4.0,1995.0,2433331
7812,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,"STURNIRA ERYTHROMOS (TSCHUDI, 1844)",TAMA,4.0,1995.0,2433324
8018,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,"STURNIRA LUDOVICI ANTHONY, 1924",SIERRA NEVADA DE SANTA MARTA,7.0,1995.0,2433332
8197,PLANTAE,BRYOPHYTA,BRYOPSIDA,LEUCODONTALES,METEORIACEAE,"SQUAMIDIUM NIGRICANS BROTHERUS, 1906",IGUAQUE,8.0,1995.0,2677764
8331,PLANTAE,BRYOPHYTA,BRYOPSIDA,LEUCODONTALES,METEORIACEAE,"SQUAMIDIUM NIGRICANS BROTHERUS, 1906",TAMA,1.0,1999.0,2677764
8367,PLANTAE,BRYOPHYTA,BRYOPSIDA,LEUCODONTALES,METEORIACEAE,SQUAMIDIUM,IGUAQUE,12.0,2006.0,8079242
9509,PLANTAE,BRYOPHYTA,SPHAGNOPSIDA,SPHAGNALES,SPHAGNACEAE,SPHAGNACEAE,IGUAQUE,12.0,2006.0,4673
9557,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,PANDANALES,CYCLANTHACEAE,SPHAERADENIA HARLING,IGUAQUE,12.0,2006.0,2861194
9570,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,PANDANALES,CYCLANTHACEAE,SPHAERADENIA HARLING,IGUAQUE,12.0,2006.0,2861194
9759,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SOLANALES,SOLANACEAE,SOLANUM L.,IGUAQUE,12.0,2006.0,2928997
9862,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SOLANALES,SOLANACEAE,SOLANUM TORVUM SW.,IGUAQUE,11.0,2006.0,2932389
9884,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SOLANALES,SOLANACEAE,SOLANUM TORVUM SW.,IGUAQUE,9.0,2007.0,2932389
9915,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,SEMATOPHYLLACEAE,"SEMATOPHYLLUM CHRYSOSTEGUM MITTEN, 1869",GUACHAROS,11.0,2005.0,2680710
9919,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,SEMATOPHYLLACEAE,"SEMATOPHYLLUM CHRYSOSTEGUM MITTEN, 1869",GUACHAROS,11.0,2005.0,2680710
9923,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,SEMATOPHYLLACEAE,"SEMATOPHYLLUM CHRYSOSTEGUM MITTEN, 1869",GUACHAROS,11.0,2005.0,2680710
9935,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,SEMATOPHYLLACEAE,"SEMATOPHYLLUM CHRYSOSTEGUM MITTEN, 1869",GUACHAROS,11.0,2005.0,2680710
9937,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,SEMATOPHYLLACEAE,"SEMATOPHYLLUM ADNATUM BRITTON, 1902",IGUAQUE,6.0,2005.0,2680735
9949,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,SEMATOPHYLLACEAE,"SEMATOPHYLLUM CHRYSOSTEGUM MITTEN, 1869",GUACHAROS,11.0,2005.0,2680710
9995,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,SEMATOPHYLLACEAE,"SEMATOPHYLLUM CHRYSOSTEGUM MITTEN, 1869",GUACHAROS,11.0,2005.0,2680710
10003,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,SEMATOPHYLLACEAE,"SEMATOPHYLLUM CHRYSOSTEGUM MITTEN, 1869",GUACHAROS,11.0,2005.0,2680710
10076,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,SEMATOPHYLLACEAE,SEMATOPHYLLUM MITT.,IGUAQUE,12.0,2006.0,2680613
10091,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,SEMATOPHYLLACEAE,SEMATOPHYLLUM MITT.,IGUAQUE,12.0,2006.0,2680613
10099,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,SEMATOPHYLLACEAE,SEMATOPHYLLUM MITT.,IGUAQUE,12.0,2006.0,2680613
10105,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,SEMATOPHYLLACEAE,SEMATOPHYLLUM MITT.,IGUAQUE,3.0,1996.0,2680613
10120,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,SEMATOPHYLLACEAE,SEMATOPHYLLUM MITT.,IGUAQUE,12.0,2006.0,2680613
10133,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,SEMATOPHYLLACEAE,"SEMATOPHYLLUM SUBSIMPLEX MITTEN, 1869",IGUAQUE,6.0,2005.0,2680674
10153,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,SEMATOPHYLLACEAE,"SEMATOPHYLLUM SUBPINNATUM BRITTON, 1918",IGUAQUE,6.0,2005.0,2680758
10181,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,SEMATOPHYLLACEAE,SEMATOPHYLLACEAE,IGUAQUE,8.0,1995.0,4656
10258,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,SMILACACEAE,SMILAX L.,IGUAQUE,7.0,2006.0,2740627
10315,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,SENECIO L.,TAMA,11.0,2002.0,3106738
10338,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,SENECIO NIVEOAUREUS CUATREC.,COCUY,1.0,2002.0,3108482
10353,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,SENECIO L.,TAMA,11.0,2002.0,3106738
10355,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,SENECIO L.,LOS NEVADOS,5.0,1995.0,3106738
10371,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,SENECIO L.,SUMAPAZ,7.0,2002.0,3106738
10379,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,SENECIO L.,COCUY,12.0,2002.0,3106738
10568,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,"SIGMODON HISPIDUS SAY & ORD, 1825",SIERRA NEVADA DE SANTA MARTA,6.0,1995.0,2438147
10710,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,SEMATOPHYLLACEAE,"SEMATOPHYLLUM ERYTHROPODIUM MITTEN, 1869",IGUAQUE,6.0,2005.0,2680626
11390,PLANTAE,TRACHEOPHYTA,LYCOPODIOPSIDA,SELAGINELLALES,SELAGINELLACEAE,SELAGINELLA P.BEAUV.,TAMA,1.0,2005.0,2688177
11444,PLANTAE,TRACHEOPHYTA,LYCOPODIOPSIDA,SELAGINELLALES,SELAGINELLACEAE,SELAGINELLACEAE,IGUAQUE,6.0,2005.0,6724
11463,PLANTAE,TRACHEOPHYTA,LYCOPODIOPSIDA,SELAGINELLALES,SELAGINELLACEAE,SELAGINELLACEAE,TAMA,1.0,2005.0,6724
11481,PLANTAE,TRACHEOPHYTA,LYCOPODIOPSIDA,SELAGINELLALES,SELAGINELLACEAE,SELAGINELLACEAE,TAMA,11.0,1998.0,6724
11518,PLANTAE,TRACHEOPHYTA,LYCOPODIOPSIDA,SELAGINELLALES,SELAGINELLACEAE,SELAGINELLACEAE,OTUN QUIMBAYA,5.0,1996.0,6724
11643,PLANTAE,BRYOPHYTA,BRYOPSIDA,BRYALES,BRYACEAE,"SCHIZYMENIUM ANDINUM A.J.SHAW, 1985",IGUAQUE,6.0,2005.0,2677085
12144,PLANTAE,BRYOPHYTA,BRYOPSIDA,BRYALES,BRYACEAE,"SCHIZYMENIUM LINDIGII A.J.SHAW, 1985",IGUAQUE,6.0,2005.0,2677112
12147,PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,POLYPODIALES,BLECHNACEAE,SALPICHLAENA VOLUBILIS J.SM.,SIERRA NEVADA DE SANTA MARTA,6.0,1995.0,4078790
12172,PLANTAE,BRYOPHYTA,BRYOPSIDA,BRYALES,BRYACEAE,"SCHIZYMENIUM GRACILISETUM A.J.SHAW, 1985",IGUAQUE,6.0,2005.0,2677074
12508,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PORELLALES,LEJEUNEACEAE,SCHIFFNERIOLEJEUNEA POLYCARPA (NEES) GRADST.,GUACHAROS,11.0,2005.0,7469001
12539,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,JUNGERMANNIALES,SCAPANIACEAE,SCAPANIA PORTORICENSIS HAMPE & GOTTSCHE,GUACHAROS,11.0,2005.0,8323578
13075,PLANTAE,BRYOPHYTA,BRYOPSIDA,BRYALES,LEMBOPHYLLACEAE,"RIGODIUM TOXARION JAEGER, 1878",GALERAS,1.0,1995.0,2676006
13117,PLANTAE,BRYOPHYTA,BRYOPSIDA,BRYALES,LEMBOPHYLLACEAE,"RIGODIUM TOXARION JAEGER, 1878",TAMA,1.0,1999.0,2676006
13121,PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,BRACHYTHECIACEAE,RHYNCHOSTEGIUM SERRULATUM (HEDW.) A.JAEGER,IGUAQUE,6.0,2005.0,4279450
13370,PLANTAE,BRYOPHYTA,BRYOPSIDA,LEUCODONTALES,HEDWIGIACEAE,"RHACOCARPUS PURPURASCENS PARIS, 1900",GALERAS,1.0,1995.0,2678765
13395,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,RHYNCHOSPORA ARISTATA BOECKELER,IGUAQUE,3.0,1997.0,2720632
13417,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,RHYNCHOSPORA ARISTATA BOECKELER,IGUAQUE,6.0,2005.0,2720632
13463,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,RHYNCHOSPORA RUIZIANA BOECKELER,IGUAQUE,6.0,2005.0,2721007
13488,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,RHYNCHOSPORA RUIZIANA BOECKELER,CHINGAZA,11.0,2002.0,2721007
13497,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,RHYNCHOSPORA VAHL,IGUAQUE,4.0,2004.0,2701052
13518,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,RHYNCHOSPORA VAHL,IGUAQUE,4.0,2004.0,2701052
13525,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,RHYNCHOSPORA VAHL,SUMAPAZ,1.0,2006.0,2701052
13539,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,RHYNCHOSPORA VAHL,IGUAQUE,12.0,2006.0,2701052
13540,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,RHYNCHOSPORA VAHL,IGUAQUE,12.0,2006.0,2701052
13880,PLANTAE,BRYOPHYTA,BRYOPSIDA,BRYALES,BRYACEAE,RHODOBRYUM PROCERUM (SCHIMP.) PARIS,TAMA,1.0,1999.0,7786179
13902,PLANTAE,BRYOPHYTA,BRYOPSIDA,BRYALES,RHIZOGONIACEAE,"RHIZOGONIUM NOVAE-HOLLANDIAE BRIDEL, 1827",IGUAQUE,6.0,2005.0,2676473
13916,PLANTAE,BRYOPHYTA,BRYOPSIDA,BRYALES,BRYACEAE,RHODOBRYUM PROCERUM (SCHIMP.) PARIS,TAMA,1.0,1999.0,7786179
13955,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PORELLALES,RADULACEAE,RADULA JAVANICA GOTTSCHE,GUACHAROS,11.0,2005.0,7778306
13963,PLANTAE,BRYOPHYTA,BRYOPSIDA,GRIMMIALES,GRIMMIACEAE,"RACOMITRIUM CRISPIPILUM JAEGER, 1874",GALERAS,1.0,1995.0,2674303
13966,PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PORELLALES,RADULACEAE,RADULA JAVANICA GOTTSCHE,IGUAQUE,6.0,2005.0,7778306
13971,PLANTAE,BRYOPHYTA,BRYOPSIDA,GRIMMIALES,GRIMMIACEAE,"RACOMITRIUM CRISPIPILUM JAEGER, 1874",GALERAS,1.0,1995.0,2674303
14041,PLANTAE,BRYOPHYTA,BRYOPSIDA,GRIMMIALES,GRIMMIACEAE,"RACOMITRIUM CUCULLATIFOLIUM HAMPE, 1863",TAMA,1.0,1999.0,2674286
14046,PLANTAE,BRYOPHYTA,BRYOPSIDA,GRIMMIALES,GRIMMIACEAE,"RACOMITRIUM DICHELYMOIDES HERZOG, 1934",GALERAS,1.0,1995.0,2674308
